id,code_number,description,add_entry
"combined_nom_2073490",2073490,"Fegati grassi di anatre ""volatili delle specie domestiche"", commestibili, freschi o refrigerati",
"combined_nom_2073511",2073511,"Pezzi di oche ""pollame domestico"" disossati, freschi o refrigerati",
"combined_nom_2073515",2073515,"Pezzi di anatre o faraone ""pollame domestico"" disossati, freschi o refrigerati",
"combined_nom_2073521",2073521,"Metà o quarti di anatre ""pollame domestico"" freschi o refrigerati",
"combined_nom_2073523",2073523,"Metà o quarti di oche ""pollame domestico"" freschi o refrigerati",
"combined_nom_2073525",2073525,"Metà o quarti di faraone ""pollame domestico"" freschi o refrigerati",
"combined_nom_2073531",2073531,"Ali intere, anche senza punta, di anatre, oche o faraone ""pollame domestico"" fresche o refrigerate",
"combined_nom_2073541",2073541,"Dorsi, colli, dorsi con colli, codrioni, punte di ali di anatre, di oche o faraone ""pollame domestico"" freschi o refrigerati",
"combined_nom_2073551",2073551,"Petti e loro pezzi di oche ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2073553",2073553,"Petti e loro pezzi di anitre o faraone ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2073561",2073561,"Coscie e loro pezzi di oche ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2073563",2073563,"Coscie e loro pezzi di anatre o faraone ""pollame domestico"" (non disossati) freschi o refrigerati",
"combined_nom_2073571",2073571,"Parti dette ""paltò di oca o di anatra"" ""pollame domestico"" fresche o refrigerate",
"combined_nom_2073579",2073579,"Pezzi di anatre, di oche o faraone ""pollame domestico"" (non disossati) freschi o refrigerati (escl. metà, quarti, ali intere anche senza punta, dorsi, colli, codrioni, punte di ali, nonchè petti, coscie, e loro pezzi e parti dette ""paltò di oca o di ",
