"id","code_number","description"
"service_code_236399",236399," Attività in subfornitura nell'ambito della produzione del calcestruzzo pronto per l'uso"
"service_code_236499",236499," Attività in subfornitura nell'ambito della produzione della malta"
"service_code_236599",236599," Attività in subfornitura nell'ambito della fabbricazione dei prodotti in fibrocemento"
"service_code_236999",236999," Attività in subfornitura nell'ambito della fabbricazione di altri prodotti in calcestruzzo, gesso o cemento"
"service_code_237099",237099," Attività in subfornitura nell'ambito della produzione delle pietre tagliate, modellate e finite"
"service_code_239199",239199," Attività in subfornitura nell'ambito della fabbricazione dei prodotti abrasivi"
"service_code_239999",239999," Attività in subfornitura nell'ambito della fabbricazione di altri prodotti in minerali non metalliferi n.c.a."
"service_code_24",24," Metallurgia e relativi servizi"
"service_code_241099",241099," Attività in subfornitura nell'ambito della produzione di ferro, ghisa e acciaio di prima trasformazione e ferroleghe"
"service_code_242099",242099," Attività in subfornitura nell'ambito della produzione di tubi e profilati cavi in acciaio e relative guarnizioni"
"service_code_243199",243199," Attività in subfornitura nell'ambito della produzione delle barre trafilate a freddo"
"service_code_243299",243299," Attività in subfornitura nell'ambito della produzione dei nastri laminati a freddo"
"service_code_243399",243399," Attività in subfornitura nell'ambito della produzione dei prodotti ottenuti a freddo o piegati"
"service_code_243499",243499," Attività in subfornitura nell'ambito della produzione dei fili trafilati a freddo"
"service_code_244199",244199," Attività in subfornitura nell'ambito della produzione dei metalli preziosi"
"service_code_244299",244299," Attività in subfornitura nell'ambito della produzione dell'alluminio"
"service_code_244399",244399," Attività in subfornitura nell'ambito della produzione di piombo, zinco e stagno"
"service_code_244499",244499," Attività in subfornitura nell'ambito della produzione del rame"
"service_code_244599",244599," Attività in subfornitura nell'ambito della produzione di altri metalli non ferrosi"
"service_code_244699",244699," Attività in subfornitura nell'ambito della produzione di combustibili nucleari trattati"
"service_code_245111",245111," Servizi di fusione di ghisa malleabile"
"service_code_245112",245112," Servizi di fusione di ghisa a grafite sferoidale"
"service_code_245113",245113," Servizi di fusione di ghisa grigia"
"service_code_245199",245199," Attività in subfornitura nell'ambito della fusione di ferro"
"service_code_245210",245210," Servizi di fusione di acciaio"
"service_code_245310",245310," Servizi di fusione di metalli leggeri"
"service_code_245410",245410," Servizi di fusione di altri metalli non ferrosi"
"service_code_25",25," Lavorazione di prodotti in metallo (esclusi macchine e impianti) e relativi servizi"
"service_code_251199",251199," Attività in subfornitura nell'ambito della fabbricazioni di strutture metalliche e parti di strutture"
"service_code_251299",251299," Attività in subfornitura nell'ambito della produzione di porte e finestre di metallo"
"service_code_252199",252199," Attività in subfornitura nell'ambito della produzione di radiatori e caldaie per il riscaldamento centrale"
"service_code_252999",252999," Attività in subfornitura nell'ambito della produzione di cisterne, serbatoi e recipienti di metallo"
"service_code_253099",253099," Attività in subfornitura nell'ambito della produzione di generatori di vapore (escluse le caldaie per il riscaldamento centrale)"
"service_code_254099",254099," Attività in subfornitura nell'ambito della produzione di armi e munizioni"
"service_code_255011",255011," Servizi di fucinatura dei metalli"
"service_code_255012",255012," Servizi di stampaggio dei metalli"
"service_code_255013",255013," Altri servizi di profilatura dei metalli"
"service_code_256111",256111," Servizi di rivestimento dei metalli con materiali metallici"
"service_code_256112",256112," Servizi di rivestimento dei metalli con materiali non metallici"
"service_code_256121",256121," Servizi di trattamento a caldo dei metalli (diversi dai rivestimenti con materiali metallici)"
"service_code_256122",256122," Altri servizi di trattamento superficiale dei metalli"
"service_code_256210",256210," Servizi di tornitura di parti metalliche"
"service_code_256220",256220," Altri servizi di lavorazione meccanica"
"service_code_257199",257199," Attività in subfornitura nell'ambito della produzione degli articoli di coltelleria e posateria"
"service_code_257299",257299," Attività in subfornitura nell'ambito della produzione di serrature e cerniere"
"service_code_257399",257399," Attività in subfornitura nell'ambito della produzione degli utensili"
"service_code_259199",259199," Attività in subfornitura nell'ambito della produzione dei bidoni in acciaio e contenitori analoghi"
"service_code_259299",259299," Attività in subfornitura nell'ambito della produzione degli imballaggi in metallo leggero"
"service_code_259399",259399," Attività in subfornitura nell'ambito della produzione dei prodotti fabbricati con fili metallici, catene e molle"
"service_code_259499",259499," Attività in subfornitura nell'ambito della produzione di dispositivi di fissaggio e viterie"
"service_code_259999",259999," Attività in subfornitura nell'ambito della fabbricazione di altri prodotti in metallo n.c.a."
"service_code_26",26," Computer, elettronica e ottica; elettromedicale, misurazione, orologi e relativi servizi"
"service_code_261191",261191," Servizi connessi con la fabbricazione di circuiti integrati elettronici"
"service_code_261199",261199," Attività in subfornitura nell'ambito della produzione dei componenti elettronici"
"service_code_261291",261291," Servizi connessi con la stampa di circuiti"
"service_code_261299",261299," Attività in subfornitura nell'ambito della produzione delle schede elettroniche"
"service_code_262091",262091," Servizi di fabbricazione di elaboratori elettronici e unità periferiche"
"service_code_262099",262099," Attività in subfornitura nell'ambito della produzione di elaboratori elettronici e unità periferiche"
