"abi","cab","id","name","street","zip","country:id"
"05398","41330","base.0539841330","BANCA POPOLARE DEL MATERANO S.P.A.","VIALE REGINA MARGHERITA, 31","70022","base.it"
"05787","41330","base.0578741330","BANCA MERIDIANA S.P.A.","VIA UGO BASSI, 1","70022","base.it"
"05385","41334","base.0538541334","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA SELVA, 216","70022","base.it"
"05385","41330","base.0538541330","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA OTTAVIO SERENA, 13","70022","base.it"
"05385","41331","base.0538541331","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA GRAVINA, 88","70022","base.it"
"05385","41332","base.0538541332","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","PIAZZA UNITA' D'ITALIA, 12","70022","base.it"
"05385","41333","base.0538541333","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA FIUME, 16","70022","base.it"
"03207","41330","base.0320741330","CAPITALIA, SOCIETA' PER AZIONI","VIALE MARTIRI DEL 1799, 101","70022","base.it"
"03001","41330","base.0300141330","BANCO AMBROSIANO VENETO S.P.A. (OPPURE AMBROVENETO S.P.A.)","PIAZZA DELLA REPUBBLICA, 1/4","70022","base.it"
"05256","41330","base.0525641330","BANCA POPOLARE DEL MEZZOGIORNO - SOCIETA' PER AZIONI","VIALE REGINA MARGHERITA, 31","70022","base.it"
"03328","41330","base.0332841330","BANCA NAZIONALE DELL'AGRICOLTURA","VIALE REGINA MARGHERITA, 12","70022","base.it"
"02005","41330","base.0200541330","BANCO DI ROMA","VIALE MARTIRI DEL 1799, 99","70022","base.it"
"05040","41330","base.0504041330","BANCA ANTONVENETA S.P.A. (IN FORMA ABBREVIATA ANTONVENETA S.P.A.)","VIALE REGINA MARGHERITA, 12","70022","base.it"
"03028","00000","base.0302800000","BANCA AGRICOLA COMMERCIALE DI ALTAMURA","PIAZZA DELLA REPUBBLICA, 1/4","70022","base.it"
"03002","41330","base.0300241330","BANCA DI ROMA","VIALE MARTIRI DEL 1799, 99","70022","base.it"
"07056","41330","base.0705641330","BANCA DELL'ALTA MURGIA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA","PIAZZA ZANARDELLI, 16","70022","base.it"
"03069","41331","base.0306941331","INTESA SANPAOLO S.P.A.","PIAZZA DELLA REPUBBLICA, 1/4","70022","base.it"
"03069","41332","base.0306941332","BANCA INTESA S.P.A. (IN FORMA ABBREVIATA INTESA S.P.A.)","VIA MANTOVA, 88","70022","base.it"
"01010","41330","base.0101041330","BANCO DI NAPOLI SPA","PIAZZA UNITA' D'ITALIA, 20/23","70022","base.it"
"01010","41331","base.0101041331","BANCO DI NAPOLI SPA","VIALE MARTIRI, 115","70022","base.it"
"03135","41330","base.0313541330","UNICREDIT, SOCIETA' PER AZIONI","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"03135","41331","base.0313541331","UNICREDIT, SOCIETA' PER AZIONI","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"01025","41330","base.0102541330","SANPAOLO IMI S.P.A.","VIA MATERA, 2/D","70022","base.it"
